,compound_names,formula,mz_0,p0_int,p1_int,p2_int,p3_int,p4_int,M+H,M+Na,M+NH4
0,6-Cl-Trp,C11H11ClN2O2,238.05090528453002,1.0,0.1283066040199163,0.33164208661160594,0.0418508898762347,0.003780305967105387,239.05873028453001,261.04067328453004,256.08527928453003
1,5-Br-Trp,C11H11BrN2O2,282.00039020252984,1.0,0.12830660401991634,0.9844600206634014,0.1256117420377183,0.011408043044107722,283.00821520252987,304.99015820252987,300.03476420252986
2,4-epi-Demeclocycline,C21H21ClN2O8,464.09864332424974,1.0,0.2398995731084164,0.36393125734426235,0.08270736227790662,0.014744146622381202,465.10646832424976,487.08841132424976,482.13301732424975
3,Demeclocycline,C21H21ClN2O8,464.09864332424974,1.0,0.2398995731084164,0.36393125734426235,0.08270736227790662,0.014744146622381202,465.10646832424976,487.08841132424976,482.13301732424975
4,Bleomycin A2,C55H84N17O21S3,1414.5189813168017,1.0,0.6983183757080237,0.4177778139218845,0.17717835510312557,0.06399453682380157,1415.5268063168016,1437.5087493168016,1432.5533553168016
5,Bleomycin B2,C55H84N20O21S2,1424.5561321556916,1.0,0.701382701767714,0.3751919825405331,0.14744186068725137,0.04789707161972722,1425.5639571556915,1447.5459001556915,1442.5905061556914
6,Vancomycin,C66H75Cl2N9O24 ,1447.4301996908016,1.0,0.7644859569359097,0.9775321228753827,0.5983870286287878,0.3469036334722519,1448.4380246908015,1470.4199676908015,1465.4645736908014
7,Erythromycin,C37H67NO13,733.4612412182502,1.0,0.4164931644540025,0.11127600605422945,0.02226859549357568,0.0036583163022955883,734.4690662182502,756.4510092182502,751.4956152182502
8,4-Cl-Phe sansanmycin,C38H47ClN8O11S,858.2773532219207,1.0,0.4577154309053402,0.4897476660518365,0.19185519833288608,0.06400790554507331,859.2851782219208,881.2671212219208,876.3117272219208
9,Sansanmycin A,C40H49N9O11S,863.3272246088109,1.0,0.4832302119485839,0.18167024922600625,0.04983060198469893,0.010875307655184513,864.3350496088109,886.3169926088109,881.3615986088109
10,4-Br-Phe sansanmycin,C38H47BrN8O11S,902.2268381399208,0.8752232693766528,0.40060319588111537,1.0,0.42943708464147173,0.1530326139159537,903.2346631399208,925.2166061399208,920.2612121399209
